"aid","rater","sad_structure","ccc","r","cb","ccc_lower","ccc_upper","s.shift","l.shift"
"SAD-aided","8","Amended-linear",0.953612183100199,0.967718258323244,0.985423365631762,0.919398184845184,0.973503451441204,0.982240219728029,0.171065480606709
"Unaided after-training","21","Amended-linear",0.953590457907509,0.964879232356353,0.988300323946993,0.923915014883639,0.97186086724464,1.16603141234241,0.00592592666427447
"Unaided no-training","10","Amended-linear",0.953321590588511,0.9583977337053,0.994703510934689,0.91765166020853,0.973752248399059,0.983702413559692,0.101879196124244
"SAD-aided","5","Linear",0.952890714572158,0.961703017049025,0.990836773597833,0.919707393666951,0.972556089412761,1.1141994946902,-0.0824081139470167
"Unaided no-training","38","Amended-linear",0.952485558205609,0.954520739545215,0.997867850057846,0.916418160160627,0.973206680041479,1.04784536127927,-0.0457029359910247
"Unaided no-training","1","Amended-linear",0.9523491826832,0.965886062602469,0.985985013716012,0.922127839545388,0.971018789064481,1.17055662290596,-0.0598109167522343
"Unaided after-training","20","Linear",0.951715439766683,0.972679441376857,0.978447162838664,0.924335154006277,0.969345652598816,1.21116408243213,-0.0850831651569593
"SAD-aided","43","Amended-linear",0.951220419386971,0.966421948846433,0.984270297795277,0.915656757686018,0.972007643683115,1.04347171449276,-0.173640719845047
"Unaided no-training","23","Linear",0.950750984919557,0.95773276181426,0.992710099128825,0.915886797028749,0.9713801416126,1.11434518611237,-0.0543477647340938
"Unaided after-training","5","Linear",0.95023458675122,0.963400536329281,0.986333877674363,0.916289483278724,0.970625751256751,1.13285443985141,0.110138849826026
"Unaided no-training","13","Linear",0.95007656707377,0.966893414802756,0.982607340714575,0.913732802320885,0.971338275304141,1.01985696419976,0.187121390682744
"Unaided after-training","40","Linear",0.949680867548909,0.973641472159017,0.9753907312956,0.915503023595942,0.970248969573884,1.08391666042615,0.209674782272385
"SAD-aided","36","Linear",0.949180385502509,0.970809651974391,0.977720383776683,0.913914740797593,0.970223884311827,1.07545028187336,-0.200701912967765
"Unaided no-training","20","Linear",0.948287425888177,0.956693464227988,0.991213446465222,0.91257105652988,0.969644564479528,1.13255087367565,0.0470687340863443
"Unaided after-training","32","Linear",0.947473339825972,0.966574680426312,0.980238111977115,0.910230286512127,0.969511853700038,1.0669314284,0.190057363886294
"Unaided no-training","19","Linear",0.947256036439865,0.963251452468195,0.983394350470645,0.910216711029591,0.969260994261262,1.10185683108421,0.156065216378516
"Unaided no-training","15","Linear",0.946813058461112,0.949141320321896,0.99754698082263,0.906383694857469,0.970056739650165,1.03612728281437,0.0604849610974464
"Unaided no-training","5","Linear",0.946787773440543,0.963816977384499,0.982331496182846,0.914934233531866,0.966919559376927,1.20354506584144,0.0393546711449348
"SAD-aided","42","Amended-linear",0.946525411646315,0.953719017975593,0.992457310598097,0.907252970406421,0.969434980121294,1.07976424753748,0.096476373073335
"Unaided no-training","29","Amended-linear",0.946358445014184,0.950421909464148,0.99572456778458,0.905917699325961,0.969692389914696,0.954268661745755,-0.0799750017285193
"Unaided after-training","29","Amended-linear",0.946323383046824,0.96673700836077,0.978883993125948,0.90786313440463,0.968990295384061,0.997364618139891,-0.207692220629602
"Unaided after-training","15","Linear",0.945778022377533,0.981963618140548,0.963149759222713,0.911797623640955,0.966894000331852,1.06277277215263,-0.269838085534713
"Unaided no-training","6","Linear",0.944435208236446,0.958601133506552,0.985222294471647,0.903968421060022,0.968135067668472,1.06061195884856,0.16289525787771
